feature,mi_score
is_parking_sensors,0.008224553955618275
is_central_locking,0.00776687616099192
is_power_door_locks,0.007669484276793925
is_driver_seat_height_adjustable,0.006998216767870824
is_ecw,0.006708527480467463
is_adjustable_steering,0.006665708793960556
is_front_fog_lights,0.006180568291450861
steering_type,0.0061599362856366024
transmission_type,0.0059101581132716685
is_brake_assist,0.005363295161144865
cylinder,0.004993565073685646
gear_box,0.004804712978032422
displacement,0.004777312185958449
is_speed_alert,0.004394689646804784
rear_brakes_type,0.00432456677911075
is_power_steering,0.0042551422876251355
segment,0.003441022406907468
turning_radius,0.0032685458505132825
height,0.0031353348318863272
airbags,0.0030290304342659446
is_parking_camera,0.002771018892789634
policy_tenure,0.0025290579173404826
fuel_type,0.0024600890425947597
area_cluster,0.0021808044762314793
model,0.00212387933087288
age_of_car,0.0019991238128391764
is_day_night_rear_view_mirror,0.001846207085188123
ncap_rating,0.0018391185249848618
length,0.0018338462770040032
is_rear_window_defogger,0.0017777985577456246
max_power,0.0016488135238754698
max_torque,0.0014016461564569926
population_density,0.00125720122960149
gross_weight,0.0010519098373833469
is_rear_window_wiper,0.0010414165158034727
is_esc,0.0009233926981107032
is_rear_window_washer,0.0008982051068491259
age_of_policyholder,0.0006448646520198498
make,0.0003867591292798789
is_tpms,0.0
engine_type,0.0
width,0.0
